plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_95_1862068_13_2022_2074_本科批,95_1862068,95,1862068,河北,2022,,本科 (1),工学 (10),建筑类 (90),普通类,本科批,历史类,1,四年,5400,,
plan_95_1862068_13_2022_2073_本科批,95_1862068,95,1862068,河北,2022,,本科 (1),工学 (10),建筑类 (90),普通类,本科批,物理类,1,四年,5400,,
plan_95_1862068_14_2022_2_本科一批B段,95_1862068,95,1862068,山西,2022,,本科 (1),工学 (10),建筑类 (90),普通类,本科一批B段,文科,2,-,5400,,
plan_95_1862068_33_2022_3_普通类平行录取,95_1862068,95,1862068,浙江,2022,,本科 (1),工学 (10),建筑类 (90),普通类,普通类平行录取,综合,3,四年,5400,,
plan_95_1862068_34_2022_1_本科二批,95_1862068,95,1862068,安徽,2022,,本科 (1),工学 (10),建筑类 (90),普通类,本科二批,理科,2,-,5400,,
plan_95_1862068_37_2022_3_普通类一段,95_1862068,95,1862068,山东,2022,,本科 (1),工学 (10),建筑类 (90),普通类,普通类一段,综合,3,四年,5400,,
plan_95_1862068_41_2022_1_本科一批,95_1862068,95,1862068,河南,2022,,本科 (1),工学 (10),建筑类 (90),普通类,本科一批,理科,2,四年,5400,,
plan_95_1862068_12_2023_3_本科批A段,95_1862068,95,1862068,天津,2023,,本科 (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,6,四年,5400,（天津市河北区）,物理/历史(2选1)
plan_95_1862068_12_2023_3_本科批A段,95_1862068,95,1862068,天津,2023,,本科 (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,6,四年,5400,（天津市河北区）,物理/历史(2选1)
plan_95_1862068_13_2023_2074_本科批,95_1862068,95,1862068,河北,2023,,本科 (1),工学 (10),建筑类 (90),普通类,本科批,历史类,1,四年,5400,,
plan_95_1862068_13_2023_2073_本科批,95_1862068,95,1862068,河北,2023,,本科 (1),工学 (10),建筑类 (90),普通类,本科批,物理类,1,四年,5400,,
plan_95_1862068_14_2023_2_本科一批B段,95_1862068,95,1862068,山西,2023,,本科 (1),工学 (10),建筑类 (90),普通类,本科一批B段,文科,2,-,5400,,
